Date,Name,Signal,Prediction,Duration,Cumulative Value
2023-07-05,FOXF,0.6091108689510848,0.35,7 days,0.21318880413287966
2023-07-05,SNAP,0.6503036516503915,0.4,7 days,0.2601214606601566
2023-07-05,CLSK,1.47209177955585,0.37,7 days,0.5446739584356645
2023-07-05,UPST,1.4757139859123642,0.36,7 days,0.5312570349284511
2023-07-05,OSTK,2.0021870169639384,0.41,7 days,0.8208966769552147
2023-07-05,WK,-0.04206632105222508,0.26,Today to 3 days ahead,-0.010937243473578521
2023-07-05,SNX,-0.029231034962443395,0.26,Today to 3 days ahead,-0.007600069090235283
2023-07-05,ISTB,-0.009831281545286383,0.25,Today to 3 days ahead,-0.0024578203863215957
2023-07-05,USIG,-0.0049572233565460515,0.24,Today to 3 days ahead,-0.0011897336055710524
2023-07-05,BSCP,0.0016043355714265698,0.28,Today to 3 days ahead,0.0004492139599994396
2023-07-05,URI,0.5651365696494786,0.35,7 days,0.19779779937731748
2023-07-05,DKS,0.013658886607019197,0.24,Today to 3 days ahead,0.0032781327856846072
2023-07-05,ST,0.016518893581761635,0.24,Today to 3 days ahead,0.0039645344596227925
2023-07-05,UMC,0.01858783187494927,0.3,Today to 3 days ahead,0.0055763495624847805
2023-07-05,FPE,0.02667641937420674,0.27,Today to 3 days ahead,0.00720263323103582
2023-07-05,URI,0.2976520010965225,0.25,Today to 3 days ahead,0.07441300027413063
2023-07-05,SHOP,0.30654686362678135,0.24,Today to 3 days ahead,0.07357124727042752
2023-07-05,FUL,0.3085182432287658,0.24,Today to 3 days ahead,0.0740443783749038
2023-07-05,FOXF,0.3333647323313369,0.26,Today to 3 days ahead,0.0866748304061476
2023-07-05,SNAP,0.3494168874539416,0.28,Today to 3 days ahead,0.09783672848710366
2023-07-05,PTON,0.4814185236600664,0.26,Today to 3 days ahead,0.12516881615161726
2023-07-05,UPST,0.8989276463042052,0.25,Today to 3 days ahead,0.2247319115760513
2023-07-05,CLSK,1.0820503678786593,0.27,Today to 3 days ahead,0.292153599327238
2023-07-05,OSTK,1.0887071440879952,0.32,Today to 3 days ahead,0.34838628610815847
2023-07-05,ANGL,0.015551064188191637,0.28,Today to 3 days ahead,0.004354297972693659
2023-07-05,BSCP,-0.0032086500271645848,0.47,14 days,-0.0015080655127673547
2023-07-05,ALGT,0.5377318198790954,0.39,7 days,0.2097154097528472
2023-07-05,SIX,0.051685200098988214,0.35,7 days,0.018089820034645872
2023-07-05,ANGL,0.05356477664821565,0.5,14 days,0.026782388324107825
2023-07-05,SNX,0.059171509464792306,0.48,14 days,0.028402324543100307
2023-07-05,NUS,0.06235900794796906,0.44,14 days,0.027437963497106387
2023-07-05,FNDF,0.06364759532233152,0.46,14 days,0.029277893848272504
2023-07-05,SSTK,0.08089357951657411,0.45,14 days,0.03640211078245835
2023-07-05,DIS,0.08546424854518558,0.47,14 days,0.04016819681623722
2023-07-05,BNS,0.08879638977629613,0.44,14 days,0.0390704115015703
2023-07-05,CZR,0.622858699874732,0.46,14 days,0.2865150019423767
2023-07-05,LAD,0.6511843837942028,0.51,14 days,0.33210403573504343
2023-07-05,HBI,0.7099473228661691,0.44,14 days,0.31237682206111445
2023-07-05,ALGT,0.7672774188788668,0.49,14 days,0.3759659352506447
2023-07-05,URI,0.7722862731153017,0.46,14 days,0.3552516856330388
2023-07-05,CELH,0.5321204136848905,0.39,7 days,0.2075269613371073
2023-07-05,SNAP,0.879365833425753,0.52,14 days,0.4572702333813916
2023-07-05,CLSK,1.8621331912330412,0.46,14 days,0.856581267967199
2023-07-05,UPST,2.20896896020146,0.49,14 days,1.0823947904987155
2023-07-05,OSTK,2.510633361300548,0.49,14 days,1.2302103470372685
2023-07-05,ISTB,-0.009831281545286383,0.34,7 days,-0.0033426357253973703
2023-07-05,BSCP,-0.0016043250135822924,0.37,7 days,-0.0005936002550254481
2023-07-05,SNX,0.009861918244132056,0.37,7 days,0.0036489097503288603
2023-07-05,UMC,0.027881747812423904,0.41,7 days,0.0114315166030938
2023-07-05,FPE,0.03452242507250285,0.34,7 days,0.01173762452465097
2023-07-05,WK,0.035182028835581323,0.37,7 days,0.01301735066916509
2023-07-05,ANGL,0.03801371246002401,0.38,7 days,0.014445210734809123
2023-07-05,SPWR,0.04059667000802191,0.35,7 days,0.014208834502807667
2023-07-05,FNDF,0.05059167833313532,0.35,7 days,0.01770708741659736
2023-07-05,CELH,0.8900632745419942,0.49,14 days,0.4361310045255771
2023-07-05,SSTK,-29.053776405987147,0.88,year,-25.56732323726869
2023-07-06,APPS,0.7368577013219739,0.33,Today to 3 days ahead,0.2431630414362514
2023-07-06,MARA,1.7026367747110032,0.27,Today to 3 days ahead,0.4597119291719709
2023-07-06,GME,-62.73862773127799,0.85,year,-53.32783357158629
2023-07-06,UAA,-36.051364342924856,0.86,year,-31.004173334915375
2023-07-06,AZTA,1.6604363374591353,0.76,3 months,1.261931616468943
2023-07-06,IBP,1.7606987244247778,0.7,3 months,1.2324891070973445
2023-07-06,FTCH,1.8033824643637815,0.75,3 months,1.3525368482728362
2023-07-06,MVIS,1.826824403179565,0.75,3 months,1.370118302384674
2023-07-06,XPO,2.2606703592579285,0.7,3 months,1.5824692514805498
2023-07-06,MSTR,3.9071072057319522,0.74,3 months,2.8912593322416447
2023-07-06,MARA,7.422685558323446,0.79,3 months,5.863921591075522
2023-07-06,FL,-0.4823695852658771,0.55,1 month,-0.26530327189623243
2023-07-06,UAA,-0.07775197839755567,0.61,1 month,-0.04742870682250896
2023-07-06,CPRI,-0.0708885137206874,0.57,1 month,-0.04040645282079181
2023-07-06,ZIM,-0.05969579572548299,0.62,1 month,-0.03701139334979945
2023-07-06,BSCP,-0.010727966917448603,0.58,1 month,-0.006222220812120189
2023-07-06,GS,0.012059449168066292,0.55,1 month,0.006632697042436461
2023-07-06,TGT,0.023888660074260222,0.55,1 month,0.013138763040843124
2023-07-06,PACB,0.04637594155882528,0.67,1 month,0.031071880844412942
2023-07-06,SAM,0.049191256075591355,0.66,1 month,0.032466229009890296
2023-07-06,ATR,0.049222071659974755,0.58,1 month,0.028548801562785355
2023-07-06,TRMB,0.9168225051772368,0.63,1 month,0.5775981782616593
2023-07-06,WIX,0.9688718810304234,0.58,1 month,0.5619456909976456
2023-07-06,MTZ,0.9765809094392623,0.6,1 month,0.5859485456635574
2023-07-06,AZTA,0.994597204643442,0.58,1 month,0.5768663786931963
2023-07-06,URI,1.173410679132685,0.59,1 month,0.6923123006882841
2023-07-06,APPS,1.5027431302717829,0.7,1 month,1.0519201911902478
2023-07-06,TWST,1.5122765371244378,0.56,1 month,0.8468748607896852
2023-07-06,FTCH,1.5253712522585874,0.6,1 month,0.9152227513551524
2023-07-06,TREX,1.6436013026655252,0.71,3 months,1.166956924892523
2023-07-06,APPS,1.632251453534433,0.78,3 months,1.2731561337568578
2023-07-06,MKSI,1.6085949200734617,0.7,3 months,1.126016444051423
2023-07-06,GS,-0.001918945151877391,0.69,3 months,-0.0013240721547953995
2023-07-06,CNXC,-15.217992028608144,0.87,year,-13.239653064889085
2023-07-06,KBWB,-8.639779105996421,0.84,year,-7.257414449036993
2023-07-06,PENN,-5.230146325194529,0.84,year,-4.393322913163404
2023-07-06,TGT,-5.028272126060164,0.85,year,-4.27403130715114
2023-07-06,SCHP,-0.42306306706351715,0.86,year,-0.36383423767462475
2023-07-06,BNS,0.2256578276884839,0.84,year,0.18955257525832644
2023-07-06,GS,0.29203550573478687,0.87,year,0.2540708899892646
2023-07-06,APG,218.10092767977056,0.85,year,185.38578852780498
2023-07-06,AZTA,224.15122548634926,0.88,year,197.25307842798736
